iter	Passed	Remaining
0	1	165
1	2	133
2	3	118
3	4	119
4	6	117
5	7	116
6	8	116
7	10	120
8	11	119
9	13	119
10	14	117
11	16	118
12	17	118
13	19	118
14	20	117
15	22	116
16	23	115
17	25	114
18	27	115
19	28	114
20	29	110
21	30	108
22	31	107
23	33	104
24	34	102
25	35	100
26	36	99
27	38	98
28	39	95
29	40	94
30	41	92
31	42	90
32	44	89
33	45	87
34	46	86
35	47	84
36	49	83
37	50	81
38	51	80
39	52	79
40	53	77
41	55	76
42	56	74
43	57	73
44	58	71
45	60	70
46	61	69
47	62	67
48	63	66
49	65	65
50	66	63
51	67	62
52	68	60
53	69	59
54	71	58
55	72	57
56	73	55
57	75	54
58	76	52
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	45
65	85	43
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	93	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	101	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	120	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
